# <db_root>,<prot?>,<nuc?>,<short_seqs?>,<db_menu_name>,<db_long_name>,<protein_url>,<nuc_url>
Bacillus_cellulosilyticus_DSM_2522_uid43329_upstream,no,yes,yes,Bacillus cellulosilyticus DSM 2522 uid43329 (upstream),Upstream sequences (-1000 to +200) for <I>Bacillus cellulosilyticus DSM 2522 uid43329</I>.,-1000,+200
Bacillus_cereus_03BB102_uid59299_upstream,no,yes,yes,Bacillus cereus 03BB102 uid59299 (upstream),Upstream sequences (-1000 to +200) for <I>Bacillus cereus 03BB102 uid59299</I>.,-1000,+200
Bacillus_cereus_AH187_uid58753_upstream,no,yes,yes,Bacillus cereus AH187 uid58753 (upstream),Upstream sequences (-1000 to +200) for <I>Bacillus cereus AH187 uid58753</I>.,-1000,+200
Bacillus_cereus_AH820_uid58751_upstream,no,yes,yes,Bacillus cereus AH820 uid58751 (upstream),Upstream sequences (-1000 to +200) for <I>Bacillus cereus AH820 uid58751</I>.,-1000,+200
Bacillus_cereus_ATCC_10987_uid57673_upstream,no,yes,yes,Bacillus cereus ATCC 10987 uid57673 (upstream),Upstream sequences (-1000 to +200) for <I>Bacillus cereus ATCC 10987 uid57673</I>.,-1000,+200
Bacillus_cereus_ATCC_14579_uid57975_upstream,no,yes,yes,Bacillus cereus ATCC 14579 uid57975 (upstream),Upstream sequences (-1000 to +200) for <I>Bacillus cereus ATCC 14579 uid57975</I>.,-1000,+200
Bacillus_cereus_B4264_uid58757_upstream,no,yes,yes,Bacillus cereus B4264 uid58757 (upstream),Upstream sequences (-1000 to +200) for <I>Bacillus cereus B4264 uid58757</I>.,-1000,+200
Bacillus_cereus_E33L_uid58103_upstream,no,yes,yes,Bacillus cereus E33L uid58103 (upstream),Upstream sequences (-1000 to +200) for <I>Bacillus cereus E33L uid58103</I>.,-1000,+200
Bacillus_cereus_F837_76_uid83611_upstream,no,yes,yes,Bacillus cereus F837 76 uid83611 (upstream),Upstream sequences (-1000 to +200) for <I>Bacillus cereus F837 76 uid83611</I>.,-1000,+200
Bacillus_cereus_G9842_uid58759_upstream,no,yes,yes,Bacillus cereus G9842 uid58759 (upstream),Upstream sequences (-1000 to +200) for <I>Bacillus cereus G9842 uid58759</I>.,-1000,+200
Bacillus_cereus_NC7401_uid82815_upstream,no,yes,yes,Bacillus cereus NC7401 uid82815 (upstream),Upstream sequences (-1000 to +200) for <I>Bacillus cereus NC7401 uid82815</I>.,-1000,+200
Bacillus_cereus_Q1_uid58529_upstream,no,yes,yes,Bacillus cereus Q1 uid58529 (upstream),Upstream sequences (-1000 to +200) for <I>Bacillus cereus Q1 uid58529</I>.,-1000,+200
Bacillus_cereus_biovar_anthracis_CI_uid50615_upstream,no,yes,yes,Bacillus cereus biovar anthracis CI uid50615 (upstream),Upstream sequences (-1000 to +200) for <I>Bacillus cereus biovar anthracis CI uid50615</I>.,-1000,+200
Bacillus_clausii_KSM_K16_uid58237_upstream,no,yes,yes,Bacillus clausii KSM K16 uid58237 (upstream),Upstream sequences (-1000 to +200) for <I>Bacillus clausii KSM K16 uid58237</I>.,-1000,+200
Bacillus_coagulans_2_6_uid68053_upstream,no,yes,yes,Bacillus coagulans 2 6 uid68053 (upstream),Upstream sequences (-1000 to +200) for <I>Bacillus coagulans 2 6 uid68053</I>.,-1000,+200
Bacillus_coagulans_36D1_uid54335_upstream,no,yes,yes,Bacillus coagulans 36D1 uid54335 (upstream),Upstream sequences (-1000 to +200) for <I>Bacillus coagulans 36D1 uid54335</I>.,-1000,+200
Bacillus_cytotoxicus_NVH_391_98_uid58317_upstream,no,yes,yes,Bacillus cytotoxicus NVH 391 98 uid58317 (upstream),Upstream sequences (-1000 to +200) for <I>Bacillus cytotoxicus NVH 391 98 uid58317</I>.,-1000,+200
Bacillus_halodurans_C_125_uid57791_upstream,no,yes,yes,Bacillus halodurans C 125 uid57791 (upstream),Upstream sequences (-1000 to +200) for <I>Bacillus halodurans C 125 uid57791</I>.,-1000,+200
Bacillus_licheniformis_ATCC_14580_uid58097_upstream,no,yes,yes,Bacillus licheniformis ATCC 14580 uid58097 (upstream),Upstream sequences (-1000 to +200) for <I>Bacillus licheniformis ATCC 14580 uid58097</I>.,-1000,+200
Bacillus_licheniformis_ATCC_14580_uid58199_upstream,no,yes,yes,Bacillus licheniformis ATCC 14580 uid58199 (upstream),Upstream sequences (-1000 to +200) for <I>Bacillus licheniformis ATCC 14580 uid58199</I>.,-1000,+200
Bacillus_megaterium_DSM319_uid48371_upstream,no,yes,yes,Bacillus megaterium DSM319 uid48371 (upstream),Upstream sequences (-1000 to +200) for <I>Bacillus megaterium DSM319 uid48371</I>.,-1000,+200
Bacillus_megaterium_QM_B1551_uid15862_upstream,no,yes,yes,Bacillus megaterium QM B1551 uid15862 (upstream),Upstream sequences (-1000 to +200) for <I>Bacillus megaterium QM B1551 uid15862</I>.,-1000,+200
Bacillus_megaterium_WSH_002_uid159841_upstream,no,yes,yes,Bacillus megaterium WSH 002 uid159841 (upstream),Upstream sequences (-1000 to +200) for <I>Bacillus megaterium WSH 002 uid159841</I>.,-1000,+200
Bacillus_phage_0305phi8_36_upstream,no,yes,yes,Bacillus phage 0305phi8 36 (upstream),Upstream sequences (-1000 to +200) for <I>Bacillus phage 0305phi8 36</I>.,-1000,+200
Bacillus_phage_B103_upstream,no,yes,yes,Bacillus phage B103 (upstream),Upstream sequences (-1000 to +200) for <I>Bacillus phage B103</I>.,-1000,+200
Bacillus_phage_BCJA1c_upstream,no,yes,yes,Bacillus phage BCJA1c (upstream),Upstream sequences (-1000 to +200) for <I>Bacillus phage BCJA1c</I>.,-1000,+200
Bacillus_phage_Bam35c_upstream,no,yes,yes,Bacillus phage Bam35c (upstream),Upstream sequences (-1000 to +200) for <I>Bacillus phage Bam35c</I>.,-1000,+200
Bacillus_phage_Cherry_upstream,no,yes,yes,Bacillus phage Cherry (upstream),Upstream sequences (-1000 to +200) for <I>Bacillus phage Cherry</I>.,-1000,+200
Bacillus_phage_Fah_upstream,no,yes,yes,Bacillus phage Fah (upstream),Upstream sequences (-1000 to +200) for <I>Bacillus phage Fah</I>.,-1000,+200
Bacillus_phage_GA_1_upstream,no,yes,yes,Bacillus phage GA 1 (upstream),Upstream sequences (-1000 to +200) for <I>Bacillus phage GA 1</I>.,-1000,+200
Bacillus_phage_Gamma_upstream,no,yes,yes,Bacillus phage Gamma (upstream),Upstream sequences (-1000 to +200) for <I>Bacillus phage Gamma</I>.,-1000,+200
Bacillus_phage_SPBc2_upstream,no,yes,yes,Bacillus phage SPBc2 (upstream),Upstream sequences (-1000 to +200) for <I>Bacillus phage SPBc2</I>.,-1000,+200
Bacillus_phage_SPP1_upstream,no,yes,yes,Bacillus phage SPP1 (upstream),Upstream sequences (-1000 to +200) for <I>Bacillus phage SPP1</I>.,-1000,+200
Bacillus_phage_WBeta_upstream,no,yes,yes,Bacillus phage WBeta (upstream),Upstream sequences (-1000 to +200) for <I>Bacillus phage WBeta</I>.,-1000,+200
Bacillus_phage_phBC6A51_upstream,no,yes,yes,Bacillus phage phBC6A51 (upstream),Upstream sequences (-1000 to +200) for <I>Bacillus phage phBC6A51</I>.,-1000,+200
Bacillus_phage_phBC6A52_upstream,no,yes,yes,Bacillus phage phBC6A52 (upstream),Upstream sequences (-1000 to +200) for <I>Bacillus phage phBC6A52</I>.,-1000,+200
Bacillus_phage_phi105_upstream,no,yes,yes,Bacillus phage phi105 (upstream),Upstream sequences (-1000 to +200) for <I>Bacillus phage phi105</I>.,-1000,+200
Bacillus_phage_phi29_upstream,no,yes,yes,Bacillus phage phi29 (upstream),Upstream sequences (-1000 to +200) for <I>Bacillus phage phi29</I>.,-1000,+200
Bacillus_pseudofirmus_OF4_uid45847_upstream,no,yes,yes,Bacillus pseudofirmus OF4 uid45847 (upstream),Upstream sequences (-1000 to +200) for <I>Bacillus pseudofirmus OF4 uid45847</I>.,-1000,+200
Bacillus_pumilus_SAFR_032_uid59017_upstream,no,yes,yes,Bacillus pumilus SAFR 032 uid59017 (upstream),Upstream sequences (-1000 to +200) for <I>Bacillus pumilus SAFR 032 uid59017</I>.,-1000,+200
Bacillus_selenitireducens_MLS10_uid49513_upstream,no,yes,yes,Bacillus selenitireducens MLS10 uid49513 (upstream),Upstream sequences (-1000 to +200) for <I>Bacillus selenitireducens MLS10 uid49513</I>.,-1000,+200
Bacillus_subtilis_168_uid57675_upstream,no,yes,yes,Bacillus subtilis 168 uid57675 (upstream),Upstream sequences (-1000 to +200) for <I>Bacillus subtilis 168 uid57675</I>.,-1000,+200
Bacillus_subtilis_BSn5_uid62463_upstream,no,yes,yes,Bacillus subtilis BSn5 uid62463 (upstream),Upstream sequences (-1000 to +200) for <I>Bacillus subtilis BSn5 uid62463</I>.,-1000,+200
Bacillus_subtilis_RO_NN_1_uid158879_upstream,no,yes,yes,Bacillus subtilis RO NN 1 uid158879 (upstream),Upstream sequences (-1000 to +200) for <I>Bacillus subtilis RO NN 1 uid158879</I>.,-1000,+200
Bacillus_subtilis_spizizenii_TU_B_10_uid73967_upstream,no,yes,yes,Bacillus subtilis spizizenii TU B 10 uid73967 (upstream),Upstream sequences (-1000 to +200) for <I>Bacillus subtilis spizizenii TU B 10 uid73967</I>.,-1000,+200
Bacillus_subtilis_spizizenii_W23_uid51879_upstream,no,yes,yes,Bacillus subtilis spizizenii W23 uid51879 (upstream),Upstream sequences (-1000 to +200) for <I>Bacillus subtilis spizizenii W23 uid51879</I>.,-1000,+200
Bacillus_thuringiensis_Al_Hakam_uid58795_upstream,no,yes,yes,Bacillus thuringiensis Al Hakam uid58795 (upstream),Upstream sequences (-1000 to +200) for <I>Bacillus thuringiensis Al Hakam uid58795</I>.,-1000,+200
Bacillus_thuringiensis_BMB171_uid49135_upstream,no,yes,yes,Bacillus thuringiensis BMB171 uid49135 (upstream),Upstream sequences (-1000 to +200) for <I>Bacillus thuringiensis BMB171 uid49135</I>.,-1000,+200
Bacillus_thuringiensis_phage_GIL16c_upstream,no,yes,yes,Bacillus thuringiensis phage GIL16c (upstream),Upstream sequences (-1000 to +200) for <I>Bacillus thuringiensis phage GIL16c</I>.,-1000,+200
Bacillus_thuringiensis_serovar_chinensis_CT_43_uid158151_upstream,no,yes,yes,Bacillus thuringiensis serovar chinensis CT 43 uid158151 (upstream),Upstream sequences (-1000 to +200) for <I>Bacillus thuringiensis serovar chinensis CT 43 uid158151</I>.,-1000,+200
Bacillus_thuringiensis_serovar_finitimus_YBT_020_uid158875_upstream,no,yes,yes,Bacillus thuringiensis serovar finitimus YBT 020 uid158875 (upstream),Upstream sequences (-1000 to +200) for <I>Bacillus thuringiensis serovar finitimus YBT 020 uid158875</I>.,-1000,+200
Bacillus_thuringiensis_serovar_konkukian_97_27_uid58089_upstream,no,yes,yes,Bacillus thuringiensis serovar konkukian 97 27 uid58089 (upstream),Upstream sequences (-1000 to +200) for <I>Bacillus thuringiensis serovar konkukian 97 27 uid58089</I>.,-1000,+200
Bacillus_tusciae_DSM_2912_uid48361_upstream,no,yes,yes,Bacillus tusciae DSM 2912 uid48361 (upstream),Upstream sequences (-1000 to +200) for <I>Bacillus tusciae DSM 2912 uid48361</I>.,-1000,+200
Bacillus_virus_1_upstream,no,yes,yes,Bacillus virus 1 (upstream),Upstream sequences (-1000 to +200) for <I>Bacillus virus 1</I>.,-1000,+200
Bacillus_weihenstephanensis_KBAB4_uid58315_upstream,no,yes,yes,Bacillus weihenstephanensis KBAB4 uid58315 (upstream),Upstream sequences (-1000 to +200) for <I>Bacillus weihenstephanensis KBAB4 uid58315</I>.,-1000,+200
Bacteriophage_M11_upstream,no,yes,yes,Bacteriophage M11 (upstream),Upstream sequences (-1000 to +200) for <I>Bacteriophage M11</I>.,-1000,+200
Bacteriovorax_marinus_SJ_uid82341_upstream,no,yes,yes,Bacteriovorax marinus SJ uid82341 (upstream),Upstream sequences (-1000 to +200) for <I>Bacteriovorax marinus SJ uid82341</I>.,-1000,+200
Bacteroides_fragilis_638R_uid84217_upstream,no,yes,yes,Bacteroides fragilis 638R uid84217 (upstream),Upstream sequences (-1000 to +200) for <I>Bacteroides fragilis 638R uid84217</I>.,-1000,+200
Bacteroides_fragilis_NCTC_9343_uid57639_upstream,no,yes,yes,Bacteroides fragilis NCTC 9343 uid57639 (upstream),Upstream sequences (-1000 to +200) for <I>Bacteroides fragilis NCTC 9343 uid57639</I>.,-1000,+200
Bacteroides_fragilis_YCH46_uid58195_upstream,no,yes,yes,Bacteroides fragilis YCH46 uid58195 (upstream),Upstream sequences (-1000 to +200) for <I>Bacteroides fragilis YCH46 uid58195</I>.,-1000,+200
Bacteroides_helcogenes_P_36_108_uid62135_upstream,no,yes,yes,Bacteroides helcogenes P 36 108 uid62135 (upstream),Upstream sequences (-1000 to +200) for <I>Bacteroides helcogenes P 36 108 uid62135</I>.,-1000,+200
Bacteroides_salanitronis_DSM_18170_uid63269_upstream,no,yes,yes,Bacteroides salanitronis DSM 18170 uid63269 (upstream),Upstream sequences (-1000 to +200) for <I>Bacteroides salanitronis DSM 18170 uid63269</I>.,-1000,+200
Bacteroides_thetaiotaomicron_VPI_5482_uid62913_upstream,no,yes,yes,Bacteroides thetaiotaomicron VPI 5482 uid62913 (upstream),Upstream sequences (-1000 to +200) for <I>Bacteroides thetaiotaomicron VPI 5482 uid62913</I>.,-1000,+200
Bacteroides_vulgatus_ATCC_8482_uid58253_upstream,no,yes,yes,Bacteroides vulgatus ATCC 8482 uid58253 (upstream),Upstream sequences (-1000 to +200) for <I>Bacteroides vulgatus ATCC 8482 uid58253</I>.,-1000,+200
Bartonella_bacilliformis_KC583_uid58533_upstream,no,yes,yes,Bartonella bacilliformis KC583 uid58533 (upstream),Upstream sequences (-1000 to +200) for <I>Bartonella bacilliformis KC583 uid58533</I>.,-1000,+200
Bartonella_clarridgeiae_73_uid62131_upstream,no,yes,yes,Bartonella clarridgeiae 73 uid62131 (upstream),Upstream sequences (-1000 to +200) for <I>Bartonella clarridgeiae 73 uid62131</I>.,-1000,+200
Bartonella_grahamii_as4aup_uid59405_upstream,no,yes,yes,Bartonella grahamii as4aup uid59405 (upstream),Upstream sequences (-1000 to +200) for <I>Bartonella grahamii as4aup uid59405</I>.,-1000,+200
Bartonella_henselae_Houston_1_uid57745_upstream,no,yes,yes,Bartonella henselae Houston 1 uid57745 (upstream),Upstream sequences (-1000 to +200) for <I>Bartonella henselae Houston 1 uid57745</I>.,-1000,+200
Bartonella_quintana_Toulouse_uid57635_upstream,no,yes,yes,Bartonella quintana Toulouse uid57635 (upstream),Upstream sequences (-1000 to +200) for <I>Bartonella quintana Toulouse uid57635</I>.,-1000,+200
Bartonella_tribocorum_CIP_105476_uid59129_upstream,no,yes,yes,Bartonella tribocorum CIP 105476 uid59129 (upstream),Upstream sequences (-1000 to +200) for <I>Bartonella tribocorum CIP 105476 uid59129</I>.,-1000,+200
Batrachochytrium_dendrobatidis_upstream,no,yes,yes,Batrachochytrium dendrobatidis (upstream),Upstream sequences (-1000 to +200) for <I>Batrachochytrium dendrobatidis</I>.,-1000,+200
Batrachochytrium_dendrobatidis_JEL423_MO_upstream,no,yes,yes,Batrachochytrium dendrobatidis JEL423 MO (upstream),Upstream sequences (-1000 to +200) for <I>Batrachochytrium dendrobatidis JEL423 MO</I>.,-1000,+200
Baumannia_cicadellinicola_Hc__Homalodisca_coagulata__uid58111_upstream,no,yes,yes,Baumannia cicadellinicola Hc  Homalodisca coagulata  uid58111 (upstream),Upstream sequences (-1000 to +200) for <I>Baumannia cicadellinicola Hc  Homalodisca coagulata  uid58111</I>.,-1000,+200
Bdellovibrio_bacteriovorus_HD100_uid61595_upstream,no,yes,yes,Bdellovibrio bacteriovorus HD100 uid61595 (upstream),Upstream sequences (-1000 to +200) for <I>Bdellovibrio bacteriovorus HD100 uid61595</I>.,-1000,+200
Bdellovibrio_phage_phiMH2K_upstream,no,yes,yes,Bdellovibrio phage phiMH2K (upstream),Upstream sequences (-1000 to +200) for <I>Bdellovibrio phage phiMH2K</I>.,-1000,+200
Beijerinckia_indica_ATCC_9039_uid59057_upstream,no,yes,yes,Beijerinckia indica ATCC 9039 uid59057 (upstream),Upstream sequences (-1000 to +200) for <I>Beijerinckia indica ATCC 9039 uid59057</I>.,-1000,+200
Beutenbergia_cavernae_DSM_12333_uid59047_upstream,no,yes,yes,Beutenbergia cavernae DSM 12333 uid59047 (upstream),Upstream sequences (-1000 to +200) for <I>Beutenbergia cavernae DSM 12333 uid59047</I>.,-1000,+200
Bifidobacterium_adolescentis_ATCC_15703_uid58559_upstream,no,yes,yes,Bifidobacterium adolescentis ATCC 15703 uid58559 (upstream),Upstream sequences (-1000 to +200) for <I>Bifidobacterium adolescentis ATCC 15703 uid58559</I>.,-1000,+200
Bifidobacterium_animalis_lactis_AD011_uid58911_upstream,no,yes,yes,Bifidobacterium animalis lactis AD011 uid58911 (upstream),Upstream sequences (-1000 to +200) for <I>Bifidobacterium animalis lactis AD011 uid58911</I>.,-1000,+200
Bifidobacterium_animalis_lactis_BB_12_uid158871_upstream,no,yes,yes,Bifidobacterium animalis lactis BB 12 uid158871 (upstream),Upstream sequences (-1000 to +200) for <I>Bifidobacterium animalis lactis BB 12 uid158871</I>.,-1000,+200
Bifidobacterium_animalis_lactis_BLC1_uid158867_upstream,no,yes,yes,Bifidobacterium animalis lactis BLC1 uid158867 (upstream),Upstream sequences (-1000 to +200) for <I>Bifidobacterium animalis lactis BLC1 uid158867</I>.,-1000,+200
Bifidobacterium_animalis_lactis_Bl_04_uid59359_upstream,no,yes,yes,Bifidobacterium animalis lactis Bl 04 uid59359 (upstream),Upstream sequences (-1000 to +200) for <I>Bifidobacterium animalis lactis Bl 04 uid59359</I>.,-1000,+200
Bifidobacterium_animalis_lactis_CNCM_I_2494_uid158869_upstream,no,yes,yes,Bifidobacterium animalis lactis CNCM I 2494 uid158869 (upstream),Upstream sequences (-1000 to +200) for <I>Bifidobacterium animalis lactis CNCM I 2494 uid158869</I>.,-1000,+200
Bifidobacterium_animalis_lactis_DSM_10140_uid59357_upstream,no,yes,yes,Bifidobacterium animalis lactis DSM 10140 uid59357 (upstream),Upstream sequences (-1000 to +200) for <I>Bifidobacterium animalis lactis DSM 10140 uid59357</I>.,-1000,+200
Bifidobacterium_animalis_lactis_V9_uid158865_upstream,no,yes,yes,Bifidobacterium animalis lactis V9 uid158865 (upstream),Upstream sequences (-1000 to +200) for <I>Bifidobacterium animalis lactis V9 uid158865</I>.,-1000,+200
Bifidobacterium_bifidum_PRL2010_uid59883_upstream,no,yes,yes,Bifidobacterium bifidum PRL2010 uid59883 (upstream),Upstream sequences (-1000 to +200) for <I>Bifidobacterium bifidum PRL2010 uid59883</I>.,-1000,+200
Bifidobacterium_bifidum_S17_uid59545_upstream,no,yes,yes,Bifidobacterium bifidum S17 uid59545 (upstream),Upstream sequences (-1000 to +200) for <I>Bifidobacterium bifidum S17 uid59545</I>.,-1000,+200
Bifidobacterium_breve_ACS_071_V_Sch8b_uid158863_upstream,no,yes,yes,Bifidobacterium breve ACS 071 V Sch8b uid158863 (upstream),Upstream sequences (-1000 to +200) for <I>Bifidobacterium breve ACS 071 V Sch8b uid158863</I>.,-1000,+200
Bifidobacterium_dentium_Bd1_uid43091_upstream,no,yes,yes,Bifidobacterium dentium Bd1 uid43091 (upstream),Upstream sequences (-1000 to +200) for <I>Bifidobacterium dentium Bd1 uid43091</I>.,-1000,+200
Bifidobacterium_longum_BBMN68_uid60163_upstream,no,yes,yes,Bifidobacterium longum BBMN68 uid60163 (upstream),Upstream sequences (-1000 to +200) for <I>Bifidobacterium longum BBMN68 uid60163</I>.,-1000,+200
Bifidobacterium_longum_DJO10A_uid58833_upstream,no,yes,yes,Bifidobacterium longum DJO10A uid58833 (upstream),Upstream sequences (-1000 to +200) for <I>Bifidobacterium longum DJO10A uid58833</I>.,-1000,+200
Bifidobacterium_longum_JCM_1217_uid62695_upstream,no,yes,yes,Bifidobacterium longum JCM 1217 uid62695 (upstream),Upstream sequences (-1000 to +200) for <I>Bifidobacterium longum JCM 1217 uid62695</I>.,-1000,+200
Bifidobacterium_longum_JDM301_uid49131_upstream,no,yes,yes,Bifidobacterium longum JDM301 uid49131 (upstream),Upstream sequences (-1000 to +200) for <I>Bifidobacterium longum JDM301 uid49131</I>.,-1000,+200
Bifidobacterium_longum_KACC_91563_uid158861_upstream,no,yes,yes,Bifidobacterium longum KACC 91563 uid158861 (upstream),Upstream sequences (-1000 to +200) for <I>Bifidobacterium longum KACC 91563 uid158861</I>.,-1000,+200
Bifidobacterium_longum_NCC2705_uid57939_upstream,no,yes,yes,Bifidobacterium longum NCC2705 uid57939 (upstream),Upstream sequences (-1000 to +200) for <I>Bifidobacterium longum NCC2705 uid57939</I>.,-1000,+200
Bifidobacterium_longum_infantis_157F_uid62693_upstream,no,yes,yes,Bifidobacterium longum infantis 157F uid62693 (upstream),Upstream sequences (-1000 to +200) for <I>Bifidobacterium longum infantis 157F uid62693</I>.,-1000,+200
Bifidobacterium_longum_infantis_ATCC_15697_uid159865_upstream,no,yes,yes,Bifidobacterium longum infantis ATCC 15697 uid159865 (upstream),Upstream sequences (-1000 to +200) for <I>Bifidobacterium longum infantis ATCC 15697 uid159865</I>.,-1000,+200
Bifidobacterium_longum_infantis_ATCC_15697_uid58677_upstream,no,yes,yes,Bifidobacterium longum infantis ATCC 15697 uid58677 (upstream),Upstream sequences (-1000 to +200) for <I>Bifidobacterium longum infantis ATCC 15697 uid58677</I>.,-1000,+200
Blastococcus_saxobsidens_DD2_uid89391_upstream,no,yes,yes,Blastococcus saxobsidens DD2 uid89391 (upstream),Upstream sequences (-1000 to +200) for <I>Blastococcus saxobsidens DD2 uid89391</I>.,-1000,+200
Blattabacterium__Blattella_germanica__Bge_uid41533_upstream,no,yes,yes,Blattabacterium  Blattella germanica  Bge uid41533 (upstream),Upstream sequences (-1000 to +200) for <I>Blattabacterium  Blattella germanica  Bge uid41533</I>.,-1000,+200
Blattabacterium__Cryptocercus_punctulatus__Cpu_uid81083_upstream,no,yes,yes,Blattabacterium  Cryptocercus punctulatus  Cpu uid81083 (upstream),Upstream sequences (-1000 to +200) for <I>Blattabacterium  Cryptocercus punctulatus  Cpu uid81083</I>.,-1000,+200
Blattabacterium__Mastotermes_darwiniensis__MADAR_uid77127_upstream,no,yes,yes,Blattabacterium  Mastotermes darwiniensis  MADAR uid77127 (upstream),Upstream sequences (-1000 to +200) for <I>Blattabacterium  Mastotermes darwiniensis  MADAR uid77127</I>.,-1000,+200
Blattabacterium__Periplaneta_americana__BPLAN_uid41287_upstream,no,yes,yes,Blattabacterium  Periplaneta americana  BPLAN uid41287 (upstream),Upstream sequences (-1000 to +200) for <I>Blattabacterium  Periplaneta americana  BPLAN uid41287</I>.,-1000,+200
Bordetella_avium_197N_uid61563_upstream,no,yes,yes,Bordetella avium 197N uid61563 (upstream),Upstream sequences (-1000 to +200) for <I>Bordetella avium 197N uid61563</I>.,-1000,+200
Bordetella_bronchiseptica_RB50_uid57613_upstream,no,yes,yes,Bordetella bronchiseptica RB50 uid57613 (upstream),Upstream sequences (-1000 to +200) for <I>Bordetella bronchiseptica RB50 uid57613</I>.,-1000,+200
Bordetella_parapertussis_12822_uid57615_upstream,no,yes,yes,Bordetella parapertussis 12822 uid57615 (upstream),Upstream sequences (-1000 to +200) for <I>Bordetella parapertussis 12822 uid57615</I>.,-1000,+200
Bordetella_pertussis_CS_uid158859_upstream,no,yes,yes,Bordetella pertussis CS uid158859 (upstream),Upstream sequences (-1000 to +200) for <I>Bordetella pertussis CS uid158859</I>.,-1000,+200
Bordetella_pertussis_Tohama_I_uid57617_upstream,no,yes,yes,Bordetella pertussis Tohama I uid57617 (upstream),Upstream sequences (-1000 to +200) for <I>Bordetella pertussis Tohama I uid57617</I>.,-1000,+200
Bordetella_petrii_DSM_12804_uid61631_upstream,no,yes,yes,Bordetella petrii DSM 12804 uid61631 (upstream),Upstream sequences (-1000 to +200) for <I>Bordetella petrii DSM 12804 uid61631</I>.,-1000,+200
Bordetella_petrii_uid28135_upstream,no,yes,yes,Bordetella petrii uid28135 (upstream),Upstream sequences (-1000 to +200) for <I>Bordetella petrii uid28135</I>.,-1000,+200
Bordetella_phage_BIP_1_upstream,no,yes,yes,Bordetella phage BIP 1 (upstream),Upstream sequences (-1000 to +200) for <I>Bordetella phage BIP 1</I>.,-1000,+200
Bordetella_phage_BMP_1_upstream,no,yes,yes,Bordetella phage BMP 1 (upstream),Upstream sequences (-1000 to +200) for <I>Bordetella phage BMP 1</I>.,-1000,+200
Bordetella_phage_BPP_1_upstream,no,yes,yes,Bordetella phage BPP 1 (upstream),Upstream sequences (-1000 to +200) for <I>Bordetella phage BPP 1</I>.,-1000,+200
Borrelia_afzelii_PKo_uid159867_upstream,no,yes,yes,Borrelia afzelii PKo uid159867 (upstream),Upstream sequences (-1000 to +200) for <I>Borrelia afzelii PKo uid159867</I>.,-1000,+200
Borrelia_afzelii_PKo_uid58653_upstream,no,yes,yes,Borrelia afzelii PKo uid58653 (upstream),Upstream sequences (-1000 to +200) for <I>Borrelia afzelii PKo uid58653</I>.,-1000,+200
Borrelia_bissettii_DN127_uid71231_upstream,no,yes,yes,Borrelia bissettii DN127 uid71231 (upstream),Upstream sequences (-1000 to +200) for <I>Borrelia bissettii DN127 uid71231</I>.,-1000,+200
Borrelia_burgdorferi_B31_uid57581_upstream,no,yes,yes,Borrelia burgdorferi B31 uid57581 (upstream),Upstream sequences (-1000 to +200) for <I>Borrelia burgdorferi B31 uid57581</I>.,-1000,+200
Borrelia_burgdorferi_ZS7_uid59429_upstream,no,yes,yes,Borrelia burgdorferi ZS7 uid59429 (upstream),Upstream sequences (-1000 to +200) for <I>Borrelia burgdorferi ZS7 uid59429</I>.,-1000,+200
Borrelia_duttonii_Ly_uid58791_upstream,no,yes,yes,Borrelia duttonii Ly uid58791 (upstream),Upstream sequences (-1000 to +200) for <I>Borrelia duttonii Ly uid58791</I>.,-1000,+200
Borrelia_garinii_PBi_uid58125_upstream,no,yes,yes,Borrelia garinii PBi uid58125 (upstream),Upstream sequences (-1000 to +200) for <I>Borrelia garinii PBi uid58125</I>.,-1000,+200
Borrelia_hermsii_DAH_uid59225_upstream,no,yes,yes,Borrelia hermsii DAH uid59225 (upstream),Upstream sequences (-1000 to +200) for <I>Borrelia hermsii DAH uid59225</I>.,-1000,+200
Borrelia_recurrentis_A1_uid58793_upstream,no,yes,yes,Borrelia recurrentis A1 uid58793 (upstream),Upstream sequences (-1000 to +200) for <I>Borrelia recurrentis A1 uid58793</I>.,-1000,+200
Borrelia_turicatae_91E135_uid58311_upstream,no,yes,yes,Borrelia turicatae 91E135 uid58311 (upstream),Upstream sequences (-1000 to +200) for <I>Borrelia turicatae 91E135 uid58311</I>.,-1000,+200
Bos_taurus_EnsEMBL_upstream,no,yes,yes,Bos taurus EnsEMBL (upstream),Upstream sequences (-1000 to +200) for <I>Bos taurus EnsEMBL</I>.,-1000,+200
Botryotinia_fuckeliana_MO_upstream,no,yes,yes,Botryotinia fuckeliana MO (upstream),Upstream sequences (-1000 to +200) for <I>Botryotinia fuckeliana MO</I>.,-1000,+200
Brachybacterium_faecium_DSM_4810_uid58649_upstream,no,yes,yes,Brachybacterium faecium DSM 4810 uid58649 (upstream),Upstream sequences (-1000 to +200) for <I>Brachybacterium faecium DSM 4810 uid58649</I>.,-1000,+200
Brachyspira_hyodysenteriae_WA1_uid59291_upstream,no,yes,yes,Brachyspira hyodysenteriae WA1 uid59291 (upstream),Upstream sequences (-1000 to +200) for <I>Brachyspira hyodysenteriae WA1 uid59291</I>.,-1000,+200
